68586.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856540.3991, -4842968.4452, 4047984.8006]
68589.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856540.4319, -4842968.4693, 4047984.7742]
68591.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856540.6229, -4842968.428, 4047984.7777]
68593.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856540.7718, -4842968.3521, 4047984.7923]
68594.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856540.8654, -4842968.2979, 4047984.7802]
68595.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856540.9438, -4842968.2861, 4047984.7792]
68597.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.0951, -4842968.2161, 4047984.8295]
68598.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.1584, -4842968.1981, 4047984.8114]
68600.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.3266, -4842968.1346, 4047984.8091]
68601.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.4112, -4842968.0911, 4047984.8375]
