68658.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.76, -4842968.0503, 4047984.86]
68660.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.7635, -4842968.0387, 4047984.8682]
68661.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.8255, -4842968.0346, 4047984.8739]
68662.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856541.9161, -4842967.9778, 4047984.9024]
68663.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856542.0027, -4842967.9327, 4047984.9275]
68664.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856542.114, -4842967.9004, 4047984.9155]
68665.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856542.168, -4842967.8518, 4047984.9448]
68666.000 [  856554.19923 -4842967.5223   4047980.9361 ] [856542.2533, -4842967.8145, 4047984.957]
