['#BESTXYZA', 'COM1', '0', '82.5', 'FINESTEERING', '1992', '66141.000', '00000000', 'fac1', '13306;SOL_COMPUTED', 'SINGLE', '856539.5860', '-4842968.3638', '4047984.5099', '1.2537', '2.0768', '1.7818', 'SOL_COMPUTED', 'DOPPLER_VELOCITY', '0.1260', '0.0228', '-0.1206', '0.1498', '0.2482', '0.2130', '""', '0.150', '0.000', '0.000', '10', '10', '10', '10', '0', '06', '00', '03*ac09b494\r\n']
['#SATXYZA', 'COM1', '0', '82.5', 'FINESTEERING', '1992', '66141.000', '00000000', '6f3c', '13306;0.0', '10', '22', '-9363402.8640', '-24411106.1552', '-4395268.2308', '-95808.783', '0.744', '6.797', '0.0', '0.0', '9', '-15975587.8653', '-3009917.6787', '20969637.9097', '151720.810', '-0.720', '7.708', '0.0', '0.0', '3', '-12714449.0841', '-23221749.8904', '2437606.5706', '7939.561', '-0.696', '4.814', '0.0', '0.0', '29', '12984818.3250', '7202374.7728', '22007828.8331', '145077.680', '-0.185', '13.920', '0.0', '0.0', '27', '11519071.4290', '-23156501.8129', '-5483211.9842', '110714.158', '0.413', '5.858', '0.0', '0.0', '26', '9375176.0039', '-13868778.8235', '20584872.6010', '-66389.693', '-1.786', '2.602', '0.0', '0.0', '23', '-7925196.1640', '-14955988.4709', '20644371.3932', '-65534.379', '-1.769', '2.913', '0.0', '0.0', '14', '18357227.3151', '-18719010.0619', '-3342160.2053', '-28473.412', '0.771', '6.694', '0.0', '0.0', '31', '21017590.8046', '-7757232.8991', '14624704.9235', '40814.217', '-1.455', '4.573', '0.0', '0.0', '16', '2428656.4530', '-21566058.6689', '14862341.1651', '9143.748', '-1.526', '2.357', '0.0', '0.0*8ed7bc11\r\n']
['#BESTXYZA', 'COM1', '0', '83.0', 'FINESTEERING', '1992', '66142.000', '00000000', 'fac1', '13306;SOL_COMPUTED', 'SINGLE', '856539.6921', '-4842968.3172', '4047984.5290', '1.2538', '2.0766', '1.7817', 'SOL_COMPUTED', 'DOPPLER_VELOCITY', '0.2100', '0.0825', '0.1224', '0.1499', '0.2482', '0.2129', '""', '0.150', '0.000', '0.000', '10', '10', '10', '10', '0', '06', '00', '03*1fc5c0b9\r\n']
['#SATXYZA', 'COM1', '0', '83.0', 'FINESTEERING', '1992', '66142.000', '00000000', '6f3c', '13306;0.0', '10', '22', '-9362779.6052', '-24410769.7328', '-4398295.8129', '-95808.787', '0.743', '6.799', '0.0', '0.0', '9', '-15974146.2679', '-3012170.6129', '20970410.1017', '151720.810', '-0.723', '7.706', '0.0', '0.0', '3', '-12714331.1173', '-23222148.0028', '2434453.7055', '7939.563', '-0.696', '4.815', '0.0', '0.0', '29', '12983102.3192', '7204576.0511', '22008122.3609', '145077.678', '-0.197', '13.926', '0.0', '0.0', '27', '11519664.9945', '-23156932.0341', '-5480086.1826', '110714.157', '0.411', '5.856', '0.0', '0.0', '26', '9376415.6376', '-13866468.7556', '20585876.9159', '-66389.689', '-1.785', '2.602', '0.0', '0.0', '23', '-7923652.1107', '-14958054.8926', '20643412.4889', '-65534.378', '-1.769', '2.912', '0.0', '0.0', '14', '18357162.9883', '-18718466.2585', '-3345309.9829', '-28473.413', '0.772', '6.696', '0.0', '0.0', '31', '21019390.6687', '-7756846.0223', '14622357.7826', '40814.217', '-1.453', '4.574', '0.0', '0.0', '16', '2429493.4874', '-21564315.6853', '14864750.8955', '9143.747', '-1.526', '2.357', '0.0', '0.0*a59cd8d2\r\n']
['#BESTXYZA', 'COM1', '0', '83.0', 'FINESTEERING', '1992', '66143.000', '00000000', 'fac1', '13306;SOL_COMPUTED', 'SINGLE', '856539.6759', '-4842968.3346', '4047984.5250', '1.2538', '2.0766', '1.7815', 'SOL_COMPUTED', 'DOPPLER_VELOCITY', '-0.1303', '-0.0589', '-0.1115', '0.1499', '0.2482', '0.2129', '""', '0.150', '0.000', '0.000', '10', '10', '10', '10', '0', '06', '00', '03*3d106608\r\n']
['#SATXYZA', 'COM1', '0', '83.0', 'FINESTEERING', '1992', '66143.000', '00000000', '6f3c', '13306;0.0', '10', '22', '-9362156.1468', '-24410433.0090', '-4401323.3009', '-95808.791', '0.748', '6.801', '0.0', '0.0', '9', '-15972704.7432', '-3014423.7090', '20971181.8462', '151720.811', '-0.715', '7.703', '0.0', '0.0', '3', '-12714213.0065', '-23222545.7634', '2431300.7887', '7939.566', '-0.688', '4.816', '0.0', '0.0', '29', '12981386.4270', '7206777.4645', '22008415.4200', '145077.676', '-0.201', '13.932', '0.0', '0.0', '27', '11520258.3100', '-23157361.9654', '-5476960.2628', '110714.157', '0.417', '5.855', '0.0', '0.0', '26', '9377655.4580', '-13864158.6464', '20586880.7915', '-66389.685', '-1.777', '2.602', '0.0', '0.0', '23', '-7922108.2349', '-14960121.3058', '20642453.1521', '-65534.378', '-1.763', '2.912', '0.0', '0.0', '14', '18357098.4421', '-18717922.1410', '-3348459.6882', '-28473.414', '0.788', '6.698', '0.0', '0.0', '31', '21021190.2634', '-7756459.2878', '14620010.3372', '40814.217', '-1.446', '4.575', '0.0', '0.0', '16', '2430330.7356', '-21562572.4661', '14867160.3003', '9143.745', '-1.517', '2.357', '0.0', '0.0*671b89db\r\n']
['#BESTXYZA', 'COM1', '0', '84.0', 'FINESTEERING', '1992', '66144.000', '00000000', 'fac1', '13306;SOL_COMPUTED', 'SINGLE', '856539.6735', '-4842968.3196', '4047984.5149', '1.2538', '2.0767', '1.7813', 'SOL_COMPUTED', 'DOPPLER_VELOCITY', '0.0206', '0.0077', '0.0220', '0.1499', '0.2482', '0.2129', '""', '0.150', '0.000', '0.000', '10', '10', '10', '10', '0', '06', '00', '03*e41f9740\r\n']
['#SATXYZA', 'COM1', '0', '84.0', 'FINESTEERING', '1992', '66144.000', '00000000', '6f3c', '13306;0.0', '10', '22', '-9361532.4888', '-24410095.9837', '-4404350.6948', '-95808.795', '0.727', '6.802', '0.0', '0.0', '9', '-15971263.2913', '-3016676.9671', '20971953.1433', '151720.811', '-0.730', '7.700', '0.0', '0.0', '3', '-12714094.7516', '-23222943.1721', '2428147.8203', '7939.568', '-0.705', '4.817', '0.0', '0.0', '29', '12979670.6485', '7208979.0130', '22008708.0102', '145077.674', '-0.222', '13.938', '0.0', '0.0', '27', '11520851.3757', '-23157791.6068', '-5473834.2247', '110714.157', '0.398', '5.853', '0.0', '0.0', '26', '9378895.4651', '-13861848.4959', '20587884.2278', '-66389.681', '-1.793', '2.602', '0.0', '0.0', '23', '-7920564.5367', '-14962187.7102', '20641493.3829', '-65534.377', '-1.779', '2.912', '0.0', '0.0', '14', '18357033.6766', '-18717377.7095', '-3351609.3213', '-28473.414', '0.773', '6.700', '0.0', '0.0', '31', '21022989.5889', '-7756072.6955', '14617662.5875', '40814.217', '-1.462', '4.576', '0.0', '0.0', '16', '2431168.1979', '-21560829.0115', '14869569.3794', '9143.744', '-1.533', '2.357', '0.0', '0.0*d4fd9354\r\n']
['#BESTXYZA', 'COM1', '0', '83.5', 'FINESTEERING', '1992', '66145.000', '00000000', 'fac1', '13306;SOL_COMPUTED', 'SINGLE', '856539.7733', '-4842968.2858', '4047984.5401', '1.2539', '2.0767', '1.7813', 'SOL_COMPUTED', 'DOPPLER_VELOCITY', '-0.0643', '0.0392', '0.0144', '0.1499', '0.2482', '0.2129', '""', '0.150', '0.000', '0.000', '10', '10', '10', '10', '0', '06', '00', '03*e246303f\r\n']
['#SATXYZA', 'COM1', '0', '83.5', 'FINESTEERING', '1992', '66145.000', '00000000', '6f3c', '13306;0.0', '10', '22', '-9360908.6311', '-24409758.6571', '-4407377.9944', '-95808.799', '0.726', '6.804', '0.0', '0.0', '9', '-15969821.9122', '-3018930.3871', '20972723.9928', '151720.812', '-0.728', '7.698', '0.0', '0.0', '3', '-12713976.3525', '-23223340.2289', '2424994.8005', '7939.571', '-0.706', '4.818', '0.0', '0.0', '29', '12977954.9836', '7211180.6965', '22009000.1316', '145077.672', '-0.226', '13.943', '0.0', '0.0', '27', '11521444.1914', '-23158220.9583', '-5470708.0686', '110714.157', '0.394', '5.851', '0.0', '0.0', '26', '9380135.6589', '-13859538.3042', '20588887.2248', '-66389.677', '-1.793', '2.602', '0.0', '0.0', '23', '-7919021.0160', '-14964254.1060', '20640533.1812', '-65534.376', '-1.779', '2.912', '0.0', '0.0', '14', '18356968.6917', '-18716832.9639', '-3354758.8819', '-28473.415', '0.772', '6.702', '0.0', '0.0', '31', '21024788.6449', '-7755686.2454', '14615314.5335', '40814.217', '-1.463', '4.576', '0.0', '0.0', '16', '2432005.8741', '-21559085.3214', '14871978.1328', '9143.743', '-1.533', '2.357', '0.0', '0.0*897b1d8f\r\n']
